City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Raudeberg,NO,61.99,5.14,44.01,88,90,26.64,light rain
84,Bonavista,CA,48.65,-53.11,23.0,92,0,1.12,clear sky
85,Lompoc,US,34.64,-120.46,77.0,18,1,4.7,clear sky
86,Bairiki,KI,1.33,172.98,84.2,79,40,12.75,scattered clouds
87,Khatanga,RU,71.97,102.5,-29.72,85,99,4.72,overcast clouds
88,Nikolskoye,RU,59.7,30.79,33.8,93,90,4.47,light intensity drizzle
89,Antsohihy,MG,-14.88,47.99,74.86,87,100,1.25,light rain
90,Port Hardy,CA,50.7,-127.42,44.6,87,75,4.7,shower rain
91,Geraldton,AU,-28.77,114.6,71.6,46,0,17.22,clear sky
92,New Norfolk,AU,-42.78,147.06,63.0,60,0,1.99,clear sky
93,Gidam,IN,18.98,81.4,52.3,48,0,2.55,clear sky
94,Progreso,MX,21.28,-89.67,87.01,51,40,8.34,scattered clouds
95,Bereda,ES,43.27,-7.54,53.01,98,100,15.01,overcast clouds
96,San Patricio,US,28.02,-97.52,73.99,35,20,4.7,few clouds
97,Codrington,AU,-38.27,141.97,58.05,70,100,6.69,overcast clouds
98,Balabac,PH,7.99,117.06,81.19,81,100,10.27,overcast clouds
99,Qaanaaq,GL,77.48,-69.36,-0.67,73,83,5.53,broken clouds
100,Qaqortoq,GL,60.72,-46.03,24.8,58,100,9.17,light snow
101,Freeport,US,40.66,-73.58,36.0,93,90,5.88,mist
102,Dhuwaran,IN,22.23,72.8,61.23,32,0,6.67,clear sky
103,Kapaa,US,22.08,-159.32,80.6,78,75,17.22,light rain
104,Lardos,GR,36.09,28.02,57.2,87,20,3.36,few clouds
105,Ponta Do Sol,PT,32.67,-17.1,60.8,82,20,8.05,few clouds
106,Esmeraldas,BR,-19.76,-44.31,84.2,73,20,11.41,light rain
107,Puerto Ayora,EC,-0.74,-90.35,78.8,69,75,13.87,broken clouds
108,Rondonopolis,BR,-16.47,-54.64,88.16,44,98,2.57,light rain
109,Niono,ML,14.25,-5.99,73.54,21,0,13.8,clear sky
110,Katsuura,JP,35.13,140.3,37.99,47,20,8.05,few clouds
111,Vaini,TO,-21.2,-175.2,82.4,83,20,16.11,few clouds
112,Longyearbyen,SJ,78.22,15.64,6.8,65,35,32.21,scattered clouds
113,Lavrentiya,RU,65.58,-171.0,-12.66,87,0,11.5,clear sky
114,Castro,BR,-24.79,-50.01,69.12,92,100,4.54,moderate rain
