City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Tutoia,BR,84.2,few clouds,-2.76,-42.27,Pousada Guará's
274,Grand Gaube,MU,75.99,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
276,Lazaro Cardenas,MX,82.02,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
279,Kavaratti,IN,80.8,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
282,Sambava,MG,76.21,light rain,-14.27,50.17,Melrose
286,Kintampo,GH,82.72,scattered clouds,8.06,-1.73,Adomaa Memorial Hotel
290,Roebourne,AU,86.4,scattered clouds,-20.78,117.13,Harding River Caravan Park
296,Hobyo,SO,78.64,broken clouds,5.35,48.53,Halane Hotel and Restaurent
297,Sao Joao Da Barra,BR,82.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
299,Port Hedland,AU,80.6,overcast clouds,-20.32,118.57,The Esplanade Hotel
300,George Town,MY,78.8,few clouds,5.41,100.34,Cititel Penang
302,Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
303,Zaraza,VE,78.44,broken clouds,9.35,-65.32,Hotel Zaraza
306,Limon,CR,84.2,few clouds,10.0,-83.03,Hotel Playa Bonita
311,Batabano,CU,82.4,scattered clouds,22.72,-82.29,
312,Cartagena Del Chaira,CO,85.23,broken clouds,1.33,-74.84,HOTEL LA ROCA
315,Luanda,AO,75.74,overcast clouds,-8.84,13.23,EPIC SANA Luanda
317,Meulaboh,ID,76.01,overcast clouds,4.14,96.13,Kost Pria
318,Waingapu,ID,79.61,overcast clouds,-9.66,120.26,Pondok Wisata Elim
319,Durban,ZA,77.0,overcast clouds,-29.86,31.03,Hilton Durban
322,Bambanglipuro,ID,75.38,overcast clouds,-7.95,110.28,Puri Brata
328,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
336,Anloga,GH,82.4,few clouds,5.79,0.9,Pin Drop Hotel
337,Beira,MZ,77.0,broken clouds,-19.84,34.84,Beira Terrace Hotel
344,Lorengau,PG,83.41,light rain,-2.02,147.27,Lorengau Harbourside Hotel
347,Iralaya,HN,80.26,light rain,15.0,-83.23,Iglesia morava renovada
349,Santiago,CL,86.0,clear sky,-33.46,-70.65,Hotel Panamericano
351,Swan Hill,AU,75.69,overcast clouds,-35.34,143.55,Lazy River Motor Inn
358,Puerto Madero,MX,87.8,few clouds,14.72,-92.42,Hotel La Central
360,Cockburn Town,TC,78.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
364,Mount Isa,AU,78.8,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
365,Namatanai,PG,83.19,scattered clouds,-3.67,152.43,Namatanai Hotel
369,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
371,Kirakira,SB,84.61,clear sky,-10.45,161.92,SanBiz Lodge
375,Tadine,NC,79.39,clear sky,-21.55,167.88,
380,Tecoanapa,MX,83.37,overcast clouds,16.52,-98.75,Hotel Manglares
383,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
388,El Tigre,VE,79.66,light rain,8.89,-64.25,Hotel Santa Cruz
389,Inhambane,MZ,75.63,few clouds,-23.86,35.38,Oceano
390,Hervey Bay,AU,82.99,broken clouds,-25.3,152.85,Shelly Bay Resort
394,Saint-Pierre,RE,75.2,clear sky,-21.34,55.48,Lindsey Hôtel
404,Maceio,BR,77.0,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
409,Matoury,GF,80.6,clear sky,4.85,-52.33,Hôtel La Marmotte
413,Grand-Lahou,CI,79.09,light rain,5.14,-5.02,Hotel Beatitude de Grand Lahou
418,Vieux-Habitants,GP,78.8,clear sky,16.06,-61.77,Gîtes Dardanelle
424,Eyl,SO,76.53,scattered clouds,7.98,49.82,Amiin Hotel
427,Fort Pierce,US,75.0,scattered clouds,27.45,-80.33,Hutchinson Island Plaza Hotel & Suites
429,Isangel,VU,82.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
430,Malindi,KE,78.71,clear sky,-3.22,40.12,African House Resort
431,Kulhudhuffushi,MV,82.18,broken clouds,6.62,73.07,Haajy Guest House 1
437,Bonfim,BR,85.53,overcast clouds,3.08,-59.95,
438,Isla Mujeres,MX,82.4,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
440,Vila Velha,BR,84.99,broken clouds,-20.33,-40.29,Hotel Vitória Palace
441,Kroya,ID,77.23,overcast clouds,-7.63,109.25,RUSTANTO Fam
442,Tual,ID,84.81,overcast clouds,-5.67,132.75,Grand Vilia Hotel
451,Tiarei,PF,86.0,shower rain,-17.53,-149.33,Le Rocher de Tahiti
456,Hambantota,LK,75.2,light intensity shower rain,6.12,81.12,Bungalow 63
459,Richards Bay,ZA,75.88,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
460,Roseau,DM,80.6,broken clouds,15.3,-61.39,Fort Young Hotel
463,Takoradi,GH,79.5,few clouds,4.88,-1.76,Raybow International Hotel
464,Mangochi,MW,75.4,overcast clouds,-14.48,35.26,Eunice Guesthouse
467,Vaitape,PF,81.73,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
473,Bandarbeyla,SO,75.6,broken clouds,9.49,50.81,JABIR HOTEL
474,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
480,Buala,SB,84.45,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
484,Jizan,SA,80.6,few clouds,17.33,42.67,شهدان. ابوالحجر
486,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
488,Nabire,ID,76.28,light rain,-3.37,135.48,Hotel Nusantara Nabire
489,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
490,Puerto Colombia,CO,87.8,clear sky,10.99,-74.95,Hotel El Emigrante
491,Tabou,CI,79.25,overcast clouds,4.42,-7.35,hotêl doufoulougou
493,La Romana,DO,84.2,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
495,Ballina,AU,75.99,light rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
498,Aloleng,PH,77.72,light rain,16.13,119.78,Agno Umbrella Rocks
503,Alofi,NU,80.91,overcast clouds,-19.06,-169.92,Taloa Heights
506,Luangwa,ZM,75.49,light rain,-15.62,30.42,Gerasimos Safari Lodge
509,Port Blair,IN,79.21,clear sky,11.67,92.75,Welcomhotel Bay Island Port Blair
510,Beloha,MG,75.15,clear sky,-25.17,45.05,
512,Tres Picos,MX,87.48,few clouds,15.87,-93.53,HOTEL TRES PICOS
518,Sassandra,CI,78.12,light rain,4.95,-6.08,la terrasse
521,Bathsheba,BB,78.8,broken clouds,13.22,-59.52,Atlantis Hotel
523,Fomboni,KM,83.17,scattered clouds,-12.28,43.74,Auberge les abou
526,Pekan,MY,75.2,moderate rain,3.48,103.4,Pekan Budget Hotel
527,Vanimo,PG,78.51,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
535,Moerai,PF,78.37,moderate rain,-22.43,-151.33,Le Manotel
538,Ambilobe,MG,75.52,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
539,Viradouro,BR,78.8,broken clouds,-20.87,-48.3,Motel Diamond
540,Key Largo,US,77.0,clear sky,25.09,-80.45,Bayside Inn Key Largo
545,Luba,GQ,78.8,few clouds,3.46,8.55,
549,Saint-Georges,GD,79.25,broken clouds,12.06,-61.75,Siesta Hotel
556,Itaituba,BR,76.73,light rain,-4.28,-55.98,Hotel Campos
558,Caucasia,CO,84.34,broken clouds,7.99,-75.19,Hotel San Rafael
559,Ewa Beach,US,82.4,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
564,Amapa,BR,79.81,scattered clouds,1.0,-52.0,
565,Immokalee,US,80.6,clear sky,26.42,-81.42,Seminole Casino Hotel Immokalee
566,Kieta,PG,84.43,overcast clouds,-6.22,155.63,
570,Dingle,PH,76.42,overcast clouds,11.0,122.67,SEGAYA PROPERTY
572,Wattegama,LK,75.2,light intensity shower rain,6.8,81.48,
573,Tarauaca,BR,84.38,light rain,-8.16,-70.77,Flat Temporada
579,Manokwari,ID,80.1,light rain,-0.87,134.08,Swiss Belhotel Manokwari
580,Tagusao,PH,79.88,broken clouds,9.19,117.81,Toledo
595,Tucuman,AR,86.0,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
602,Marihatag,PH,76.98,overcast clouds,8.79,126.3,Mariner's Place & Resort
